x,y
0,0
1,4
2,11
3,27
4,58
5,110
6,189
7,301
8,452
9,648
10,895
11,1199
12,1566
13,2002
14,2513
15,3105
16,3784
17,4556
18,5427
19,6403
20,7490
21,8694
22,10021
23,11477
24,13068
25,14800
26,16679
27,18711
28,20902
29,23258
30,25785
31,28489
32,31376
33,34452
34,37723
35,41195
36,44874
37,48766
38,52877
39,57213
40,61780
41,66584
42,71631
43,76927
44,82478
45,88290
46,94369
47,100721
48,107352
49,114268
50,121475
51,128979
52,136786
53,144902
54,153333
55,162085
56,171164
57,180576
58,190327
59,200423
60,210870
61,221674
62,232841
63,244377
64,256288
65,268580
66,281259
67,294331
68,307802
69,321678
70,335965
71,350669
72,365796
73,381352
74,397343
75,413775
76,430654
77,447986
78,465777
79,484033
80,502760
81,521964
82,541651
83,561827
84,582498
85,603670
86,625349
87,647541
88,670252
89,693488
90,717255
91,741559
92,766406
93,791802
94,817753
95,844265
96,871344
97,898996
98,927227
99,956043
100,985450
101,1015454
102,1046061
103,1077277
104,1109108
105,1141560
106,1174639
107,1208351
108,1242702
109,1277698
110,1313345
111,1349649
112,1386616
113,1424252
114,1462563
115,1501555
116,1541234
117,1581606
118,1622677
119,1664453
120,1706940
121,1750144
122,1794071
123,1838727
124,1884118
125,1930250
126,1977129
127,2024761
128,2073152
129,2122308
130,2172235
131,2222939
132,2274426
133,2326702
134,2379773
135,2433645
136,2488324
137,2543816
138,2600127
139,2657263
140,2715230
141,2774034
142,2833681
143,2894177
144,2955528
145,3017740
146,3080819
147,3144771
148,3209602
149,3275318
150,3341925
151,3409429
152,3477836
153,3547152
154,3617383
155,3688535
156,3760614
157,3833626
158,3907577
159,3982473
160,4058320
161,4135124
162,4212891
163,4291627
164,4371338
165,4452030
166,4533709
167,4616381
168,4700052
169,4784728
170,4870415
171,4957119
172,5044846
173,5133602
174,5223393
175,5314225
176,5406104
177,5499036
178,5593027
179,5688083
180,5784210
181,5881414
182,5979701
183,6079077
184,6179548
185,6281120
186,6383799
187,6487591
188,6592502
189,6698538
190,6805705
191,6914009
192,7023456
193,7134052
194,7245803
195,7358715
196,7472794
197,7588046
198,7704477
199,7822093
200,7940900
201,8060904
202,8182111
203,8304527
204,8428158
205,8553010
206,8679089
207,8806401
208,8934952
209,9064748
210,9195795
211,9328099
212,9461666
213,9596502
214,9732613
215,9870005
216,10008684
217,10148656
218,10289927
219,10432503
220,10576390
221,10721594
222,10868121
223,11015977
224,11165168
225,11315700
226,11467579
227,11620811
228,11775402
229,11931358
230,12088685
231,12247389
232,12407476
233,12568952
234,12731823
235,12896095
236,13061774
237,13228866
238,13397377
239,13567313
240,13738680
241,13911484
242,14085731
243,14261427
244,14438578
245,14617190
246,14797269
247,14978821
248,15161852
249,15346368
250,15532375
251,15719879
252,15908886
253,16099402
254,16291433
255,16484985
256,16680064
257,16876676
258,17074827
259,17274523
260,17475770
261,17678574
262,17882941
263,18088877
264,18296388
265,18505480
266,18716159
267,18928431
268,19142302
269,19357778
270,19574865
271,19793569
272,20013896
273,20235852
274,20459443
275,20684675
276,20911554
277,21140086
278,21370277
279,21602133
280,21835660
281,22070864
282,22307751
283,22546327
284,22786598
285,23028570
286,23272249
287,23517641
288,23764752
289,24013588
290,24264155
291,24516459
292,24770506
293,25026302
294,25283853
295,25543165
296,25804244
297,26067096
298,26331727
299,26598143
300,26866350
301,27136354
302,27408161
303,27681777
304,27957208
305,28234460
306,28513539
307,28794451
308,29077202
309,29361798
310,29648245
311,29936549
312,30226716
313,30518752
314,30812663
315,31108455
316,31406134
317,31705706
318,32007177
319,32310553
320,32615840
321,32923044
322,33232171
323,33543227
324,33856218
325,34171150
326,34488029
327,34806861
328,35127652
329,35450408
330,35775135
331,36101839
332,36430526
333,36761202
334,37093873
335,37428545
336,37765224
337,38103916
338,38444627
339,38787363
340,39132130
341,39478934
342,39827781
343,40178677
344,40531628
345,40886640
346,41243719
347,41602871
348,41964102
349,42327418
350,42692825
351,43060329
352,43429936
353,43801652
354,44175483
355,44551435
356,44929514
357,45309726
358,45692077
359,46076573
360,46463220
361,46852024
362,47242991
363,47636127
364,48031438
365,48428930
366,48828609
367,49230481
368,49634552
369,50040828
370,50449315
371,50860019
372,51272946
373,51688102
374,52105493
375,52525125
376,52947004
377,53371136
378,53797527
379,54226183
380,54657110
381,55090314
382,55525801
383,55963577
384,56403648
385,56846020
386,57290699
387,57737691
388,58187002
389,58638638
390,59092605
391,59548909
392,60007556
393,60468552
394,60931903
395,61397615
396,61865694
397,62336146
398,62808977
399,63284193
400,63761800
401,64241804
402,64724211
403,65209027
404,65696258
405,66185910
406,66677989
407,67172501
408,67669452
409,68168848
410,68670695
411,69174999
412,69681766
413,70191002
414,70702713
415,71216905
416,71733584
417,72252756
418,72774427
419,73298603
420,73825290
421,74354494
422,74886221
